dataset_id,transform,family,reference_count,mapped_count,f1,localization_error_bbox_diag
stagev3_0028,scale_090,geometric,5,5,0.6,0.008494059114392494
stagev3_0028,scale_110,geometric,5,4,0.4444444444444445,0.022044059483594364
stagev3_0028,translate,geometric,5,6,0.5454545454545454,0.021281033525391905
stagev3_0028,contrast_125,photometric,5,6,0.9090909090909091,0.0
stagev3_0030,flip_horizontal,geometric,5,4,0.6666666666666665,0.0
stagev3_0030,rotate_10,geometric,5,2,0.28571428571428575,0.01010378294845589
stagev3_0030,brightness_075,photometric,5,4,0.888888888888889,0.0
stagev3_0030,rotate_minus10,geometric,5,5,0.8000000000000002,0.016915554684847896
stagev3_0030,scale_090,geometric,5,5,0.6,0.014844479221178602
stagev3_0030,scale_110,geometric,5,5,0.6,0.03055599747002811
stagev3_0030,translate,geometric,5,4,0.4444444444444445,0.0168349505689767
stagev3_0030,contrast_125,photometric,5,4,0.888888888888889,0.0
