image_id,source_name,structural_complexity_proxy,size,layer_mode,method,tau,candidate_count,safety_cap_hit,plant_hit_ratio,collapse_background_or_single,mean_repeatability_f1,median_localization_error_bbox_diag,median_photometric_count_difference
akd_0120,70-70.jpg,medium,518,last4avg,feature_local_contrast,7.0,24,0,0.5,0,0.7238452515339309,0.0162959392215341,4.0
akd_0120,70-70.jpg,medium,518,last4avg,feature_local_contrast,8.0,24,0,0.5,0,0.715308914889936,0.0162959392215341,3.5
akd_0120,70-70.jpg,medium,518,last4avg,feature_local_contrast,10.0,23,0,0.5217391304347826,0,0.6973686220556677,0.015491764886712157,2.0
akd_0120,70-70.jpg,medium,518,last4avg,cls_to_patch_attention,0.985,8,0,1.0,0,0.8693627450980392,0.006553260415904833,0.0
akd_0120,70-70.jpg,medium,518,last4avg,cls_to_patch_attention,0.99,7,0,1.0,0,0.7714743589743589,0.006669303963769519,0.5
akd_0120,70-70.jpg,medium,518,last4avg,cls_to_patch_attention,0.993,5,0,1.0,0,0.6659090909090909,0.005744786822333512,0.0
akd_0120,70-70.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.625,0.007210498251426179,0.0
akd_0120,70-70.jpg,medium,518,last4avg,feature_hdbscan_medoid,0.0,8,0,0.25,0,0.3415865384615384,0.018870127214161113,0.5
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,feature_local_contrast,6.0,14,0,0.2857142857142857,0,0.7058730158730159,0.008013697852946196,2.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,feature_local_contrast,7.0,6,0,0.3333333333333333,0,0.6172952047952048,0.009193703492119565,2.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,feature_local_contrast,8.0,4,0,0.0,1,0.5335317460317461,0.0063581573817966305,1.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,feature_local_contrast,10.0,0,0,0.0,1,0.75,0.0,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,cls_to_patch_attention,0.985,6,0,0.8333333333333334,0,0.7371794871794872,0.015998077550594195,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,cls_to_patch_attention,0.99,4,0,1.0,0,0.8453373015873016,0.014056443221094641,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,cls_to_patch_attention,0.993,4,0,1.0,0,0.7604166666666666,0.014056443221094641,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,cls_to_patch_attention,0.996,3,0,1.0,0,0.95,0.011827228798482532,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last,feature_hdbscan_medoid,0.0,5,0,0.0,1,0.2849025974025974,0.02219441870601944,1.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,feature_local_contrast,6.0,18,0,0.2777777777777778,0,0.772726968039468,0.008754376896049423,1.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,feature_local_contrast,7.0,12,0,0.16666666666666666,0,0.7704960981047937,0.007378476927314665,0.5
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,feature_local_contrast,8.0,9,0,0.1111111111111111,0,0.8119883040935674,0.007875539665443194,0.5
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,feature_local_contrast,10.0,7,0,0.14285714285714285,0,0.7645604395604395,0.00926336769114321,0.5
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,cls_to_patch_attention,0.985,6,0,0.8333333333333334,0,0.7371794871794872,0.015998077550594195,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,cls_to_patch_attention,0.99,4,0,1.0,0,0.8453373015873016,0.014056443221094641,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,cls_to_patch_attention,0.993,4,0,1.0,0,0.7604166666666666,0.014056443221094641,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,cls_to_patch_attention,0.996,3,0,1.0,0,0.95,0.011827228798482532,0.0
akd_0227,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145633-731-13312093327400.jpg,high,518,last4avg,feature_hdbscan_medoid,0.0,7,0,0.2857142857142857,0,0.24275030525030522,0.03237941545813234,3.0
akd_0346,leaf3 (45).jpg,low,518,last,feature_local_contrast,6.0,17,0,0.4117647058823529,0,0.6051650833908899,0.01471954276646539,2.0
akd_0346,leaf3 (45).jpg,low,518,last,feature_local_contrast,7.0,11,0,0.2727272727272727,0,0.6408639669509234,0.014197984958201716,2.0
akd_0346,leaf3 (45).jpg,low,518,last,feature_local_contrast,8.0,7,0,0.2857142857142857,0,0.7568483803777921,0.012449546174721902,2.0
akd_0346,leaf3 (45).jpg,low,518,last,feature_local_contrast,10.0,5,0,0.2,0,0.6234036796536797,0.008613280115894248,0.5
akd_0346,leaf3 (45).jpg,low,518,last,cls_to_patch_attention,0.985,6,0,0.8333333333333334,0,0.8142742673992673,0.01345247610776094,0.5
akd_0346,leaf3 (45).jpg,low,518,last,cls_to_patch_attention,0.99,4,0,0.75,0,0.8095959595959596,0.011983084745511227,0.0
akd_0346,leaf3 (45).jpg,low,518,last,cls_to_patch_attention,0.993,3,0,0.6666666666666666,0,0.8392857142857142,0.012479368991339581,0.0
akd_0346,leaf3 (45).jpg,low,518,last,cls_to_patch_attention,0.996,3,0,0.6666666666666666,0,0.9333333333333333,0.015786463829561545,0.0
akd_0346,leaf3 (45).jpg,low,518,last,feature_hdbscan_medoid,0.0,4,0,0.75,0,0.4247113997113997,0.029938164961151478,0.5
akd_0346,leaf3 (45).jpg,low,518,last4avg,feature_local_contrast,6.0,16,0,0.6875,0,0.7249307592049528,0.01383013723733659,2.5
akd_0346,leaf3 (45).jpg,low,518,last4avg,feature_local_contrast,7.0,16,0,0.6875,0,0.7364165852069078,0.01383013723733659,1.0
akd_0346,leaf3 (45).jpg,low,518,last4avg,feature_local_contrast,8.0,16,0,0.6875,0,0.7417270427232476,0.01383013723733659,1.0
akd_0346,leaf3 (45).jpg,low,518,last4avg,feature_local_contrast,10.0,16,0,0.6875,0,0.7622097996089932,0.01383013723733659,0.5
akd_0346,leaf3 (45).jpg,low,518,last4avg,cls_to_patch_attention,0.985,6,0,0.8333333333333334,0,0.8142742673992673,0.01345247610776094,0.5
akd_0346,leaf3 (45).jpg,low,518,last4avg,cls_to_patch_attention,0.99,4,0,0.75,0,0.8095959595959596,0.011983084745511227,0.0
akd_0346,leaf3 (45).jpg,low,518,last4avg,cls_to_patch_attention,0.993,3,0,0.6666666666666666,0,0.8392857142857142,0.012479368991339581,0.0
akd_0346,leaf3 (45).jpg,low,518,last4avg,cls_to_patch_attention,0.996,3,0,0.6666666666666666,0,0.9333333333333333,0.015786463829561545,0.0
akd_0346,leaf3 (45).jpg,low,518,last4avg,feature_hdbscan_medoid,0.0,2,0,0.5,0,0.25,0.03844016016822746,1.5
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,feature_local_contrast,6.0,9,0,0.2222222222222222,0,0.6721075890483785,0.00904640905955754,1.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,feature_local_contrast,7.0,6,0,0.3333333333333333,0,0.685939060939061,0.008093240373424185,0.5
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,feature_local_contrast,8.0,5,0,0.4,0,0.7166937229437229,0.007276095454652184,0.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,feature_local_contrast,10.0,4,0,0.5,0,0.6726190476190476,0.006190306734320147,0.5
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,cls_to_patch_attention,0.985,8,0,0.875,0,0.6904761904761905,0.015993630359594523,0.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,cls_to_patch_attention,0.99,7,0,0.8571428571428571,0,0.7441142191142192,0.013080398137577685,0.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,cls_to_patch_attention,0.993,5,0,0.8,0,0.7562500000000001,0.006027251096986403,0.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,cls_to_patch_attention,0.996,5,0,0.8,0,0.6534722222222222,0.0058400948760982925,1.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last,feature_hdbscan_medoid,0.0,7,0,0.42857142857142855,0,0.3688123967535732,0.023837195004403573,0.5
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,feature_local_contrast,6.0,15,0,0.26666666666666666,0,0.724582027168234,0.009903543541873214,1.5
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,feature_local_contrast,7.0,11,0,0.2727272727272727,0,0.6895146781447985,0.00890470928372555,0.5
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,feature_local_contrast,8.0,8,0,0.375,0,0.7349089635854341,0.00904640202586655,0.5
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,feature_local_contrast,10.0,5,0,0.4,0,0.7303952991452992,0.0077915534853203895,0.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,cls_to_patch_attention,0.985,8,0,0.875,0,0.6904761904761905,0.015993630359594523,0.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,cls_to_patch_attention,0.99,7,0,0.8571428571428571,0,0.7441142191142192,0.013080398137577685,0.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,cls_to_patch_attention,0.993,5,0,0.8,0,0.7562500000000001,0.006027251096986403,0.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,cls_to_patch_attention,0.996,5,0,0.8,0,0.6534722222222222,0.0058400948760982925,1.0
akd_0222,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145548-733-13311643343928.jpg,high,518,last4avg,feature_hdbscan_medoid,0.0,8,0,0.5,0,0.40376307129403105,0.027811321521015665,1.5
akd_0394,leaf3 (93).jpg,low,518,last,feature_local_contrast,6.0,17,0,0.5294117647058824,0,0.583022386828171,0.0237199231238412,1.5
akd_0394,leaf3 (93).jpg,low,518,last,feature_local_contrast,7.0,14,0,0.6428571428571429,0,0.5956747385678838,0.021857632466244486,0.5
akd_0394,leaf3 (93).jpg,low,518,last,feature_local_contrast,8.0,11,0,0.7272727272727273,0,0.5928545300999535,0.02627246009836945,0.5
akd_0394,leaf3 (93).jpg,low,518,last,feature_local_contrast,10.0,4,0,0.75,0,0.4683080808080808,0.011701778167853776,2.0
akd_0394,leaf3 (93).jpg,low,518,last,cls_to_patch_attention,0.985,8,0,1.0,0,0.8328777023629964,0.014543016903207761,1.5
akd_0394,leaf3 (93).jpg,low,518,last,cls_to_patch_attention,0.99,6,0,1.0,0,0.6622960372960373,0.009415346249529395,0.0
akd_0394,leaf3 (93).jpg,low,518,last,cls_to_patch_attention,0.993,4,0,1.0,0,0.7847222222222222,0.015172311721693213,0.5
akd_0394,leaf3 (93).jpg,low,518,last,cls_to_patch_attention,0.996,4,0,1.0,0,0.7425595238095237,0.015224605653570068,0.0
akd_0394,leaf3 (93).jpg,low,518,last,feature_hdbscan_medoid,0.0,10,0,0.1,0,0.20239711269123034,0.013183930078622367,4.0
akd_0394,leaf3 (93).jpg,low,518,last4avg,feature_local_contrast,6.0,14,0,0.9285714285714286,0,0.7196045203810164,0.009529068216424167,3.0
akd_0394,leaf3 (93).jpg,low,518,last4avg,feature_local_contrast,7.0,14,0,0.9285714285714286,0,0.7318242491657397,0.009529068216424167,1.0
akd_0394,leaf3 (93).jpg,low,518,last4avg,feature_local_contrast,8.0,14,0,0.9285714285714286,0,0.7353188728216538,0.009529068216424167,1.0
akd_0394,leaf3 (93).jpg,low,518,last4avg,feature_local_contrast,10.0,14,0,0.9285714285714286,0,0.7379230394883204,0.009529068216424167,1.0
akd_0394,leaf3 (93).jpg,low,518,last4avg,cls_to_patch_attention,0.985,8,0,1.0,0,0.8328777023629964,0.014543016903207761,1.5
akd_0394,leaf3 (93).jpg,low,518,last4avg,cls_to_patch_attention,0.99,6,0,1.0,0,0.6622960372960373,0.009415346249529395,0.0
akd_0394,leaf3 (93).jpg,low,518,last4avg,cls_to_patch_attention,0.993,4,0,1.0,0,0.7847222222222222,0.015172311721693213,0.5
