image_id,size,layer_mode,method,tau,transform,transform_family,base_count,transformed_count_after_inverse,matches,precision,recall,f1,localization_error_bbox_diag
akd_0120,518,last4avg,feature_local_contrast,8.0,scale_090,geometric,24,25,14,0.56,0.5833333333333334,0.5714285714285714,0.025625010822335353
akd_0120,518,last4avg,feature_local_contrast,8.0,scale_110,geometric,24,28,18,0.6428571428571429,0.75,0.6923076923076924,0.019811592659749813
akd_0120,518,last4avg,feature_local_contrast,8.0,translate,geometric,24,30,16,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.014810343020599179
akd_0120,518,last4avg,feature_local_contrast,8.0,contrast_125,photometric,24,29,24,0.8275862068965517,1.0,0.9056603773584906,0.0
akd_0120,518,last4avg,feature_local_contrast,10.0,flip_horizontal,geometric,23,25,17,0.68,0.7391304347826086,0.7083333333333334,0.0019546877702847566
akd_0120,518,last4avg,feature_local_contrast,10.0,rotate_10,geometric,23,23,15,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.025013214708808542
akd_0120,518,last4avg,feature_local_contrast,10.0,brightness_075,photometric,23,24,22,0.9166666666666666,0.9565217391304348,0.9361702127659574,0.0
akd_0120,518,last4avg,feature_local_contrast,10.0,rotate_minus10,geometric,23,23,10,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.016173186752825135
akd_0120,518,last4avg,feature_local_contrast,10.0,scale_090,geometric,23,23,16,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.027690638870118474
akd_0120,518,last4avg,feature_local_contrast,10.0,scale_110,geometric,23,26,16,0.6153846153846154,0.6956521739130435,0.6530612244897959,0.016584636512694945
akd_0120,518,last4avg,feature_local_contrast,10.0,translate,geometric,23,27,14,0.5185185185185185,0.6086956521739131,0.5599999999999999,0.014810343020599179
akd_0120,518,last4avg,feature_local_contrast,10.0,contrast_125,photometric,23,26,23,0.8846153846153846,1.0,0.9387755102040816,0.0
akd_0120,518,last4avg,cls_to_patch_attention,0.985,flip_horizontal,geometric,8,7,7,1.0,0.875,0.9333333333333333,0.0019546877702847566
akd_0120,518,last4avg,cls_to_patch_attention,0.985,rotate_10,geometric,8,9,6,0.6666666666666666,0.75,0.7058823529411765,0.021380509268608832
akd_0120,518,last4avg,cls_to_patch_attention,0.985,brightness_075,photometric,8,8,8,1.0,1.0,1.0,0.0
akd_0120,518,last4avg,cls_to_patch_attention,0.985,rotate_minus10,geometric,8,8,4,0.5,0.5,0.5,0.01144788919898601
akd_0120,518,last4avg,cls_to_patch_attention,0.985,scale_090,geometric,8,7,7,1.0,0.875,0.9333333333333333,0.006849159501255462
akd_0120,518,last4avg,cls_to_patch_attention,0.985,scale_110,geometric,8,9,8,0.8888888888888888,1.0,0.9411764705882353,0.006257361330554205
akd_0120,518,last4avg,cls_to_patch_attention,0.985,translate,geometric,8,9,8,0.8888888888888888,1.0,0.9411764705882353,0.014810343020599161
akd_0120,518,last4avg,cls_to_patch_attention,0.985,contrast_125,photometric,8,8,8,1.0,1.0,1.0,0.0
akd_0120,518,last4avg,cls_to_patch_attention,0.99,flip_horizontal,geometric,7,7,6,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0019546877702847566
akd_0120,518,last4avg,cls_to_patch_attention,0.99,rotate_10,geometric,7,7,4,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.020276051616708615
akd_0120,518,last4avg,cls_to_patch_attention,0.99,brightness_075,photometric,7,6,6,1.0,0.8571428571428571,0.923076923076923,0.0
akd_0120,518,last4avg,cls_to_patch_attention,0.99,rotate_minus10,geometric,7,6,4,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.018634491903995447
akd_0120,518,last4avg,cls_to_patch_attention,0.99,scale_090,geometric,7,5,5,1.0,0.7142857142857143,0.8333333333333333,0.006849159501255462
akd_0120,518,last4avg,cls_to_patch_attention,0.99,scale_110,geometric,7,7,4,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.006489448426283576
akd_0120,518,last4avg,cls_to_patch_attention,0.99,translate,geometric,7,8,6,0.75,0.8571428571428571,0.7999999999999999,0.014286144458184448
akd_0120,518,last4avg,cls_to_patch_attention,0.99,contrast_125,photometric,7,7,7,1.0,1.0,1.0,0.0
akd_0120,518,last4avg,cls_to_patch_attention,0.993,flip_horizontal,geometric,5,4,3,0.75,0.6,0.6666666666666665,0.0019546877702847566
akd_0120,518,last4avg,cls_to_patch_attention,0.993,rotate_10,geometric,5,6,4,0.6666666666666666,0.8,0.7272727272727272,0.020276051616708615
akd_0120,518,last4avg,cls_to_patch_attention,0.993,brightness_075,photometric,5,5,4,0.8,0.8,0.8000000000000002,0.0
akd_0120,518,last4avg,cls_to_patch_attention,0.993,rotate_minus10,geometric,5,5,2,0.4,0.4,0.4000000000000001,0.011369711899066577
akd_0120,518,last4avg,cls_to_patch_attention,0.993,scale_090,geometric,5,4,2,0.5,0.4,0.4444444444444445,0.005000125218383448
akd_0120,518,last4avg,cls_to_patch_attention,0.993,scale_110,geometric,5,5,2,0.4,0.4,0.4000000000000001,0.006489448426283576
akd_0120,518,last4avg,cls_to_patch_attention,0.993,translate,geometric,5,4,4,1.0,0.8,0.888888888888889,0.014286144458184456
akd_0120,518,last4avg,cls_to_patch_attention,0.993,contrast_125,photometric,5,5,5,1.0,1.0,1.0,0.0
akd_0120,518,last4avg,cls_to_patch_attention,0.996,flip_horizontal,geometric,4,3,1,0.3333333333333333,0.25,0.28571428571428575,0.0019546877702847566
akd_0120,518,last4avg,cls_to_patch_attention,0.996,rotate_10,geometric,4,3,3,1.0,0.75,0.8571428571428571,0.031370621579511405
akd_0120,518,last4avg,cls_to_patch_attention,0.996,brightness_075,photometric,4,4,4,1.0,1.0,1.0,0.0
akd_0120,518,last4avg,cls_to_patch_attention,0.996,rotate_minus10,geometric,4,2,1,0.5,0.25,0.3333333333333333,0.009805220705917186
akd_0120,518,last4avg,cls_to_patch_attention,0.996,scale_090,geometric,4,2,2,1.0,0.5,0.6666666666666666,0.007931548076568781
akd_0120,518,last4avg,cls_to_patch_attention,0.996,scale_110,geometric,4,3,2,0.6666666666666666,0.5,0.5714285714285715,0.006489448426283576
akd_0120,518,last4avg,cls_to_patch_attention,0.996,translate,geometric,4,3,1,0.3333333333333333,0.25,0.28571428571428575,0.034101790058645595
akd_0120,518,last4avg,cls_to_patch_attention,0.996,contrast_125,photometric,4,4,4,1.0,1.0,1.0,0.0
akd_0120,518,last4avg,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,8,8,3,0.375,0.375,0.375,0.0019546877702847566
akd_0120,518,last4avg,feature_hdbscan_medoid,0.0,rotate_10,geometric,8,8,2,0.25,0.25,0.25,0.022061914652775353
akd_0120,518,last4avg,feature_hdbscan_medoid,0.0,brightness_075,photometric,8,8,6,0.75,0.75,0.75,0.0
akd_0120,518,last4avg,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,8,7,3,0.42857142857142855,0.375,0.39999999999999997,0.028741398604812868
akd_0120,518,last4avg,feature_hdbscan_medoid,0.0,scale_090,geometric,8,5,2,0.4,0.25,0.3076923076923077,0.022648381876885355
akd_0120,518,last4avg,feature_hdbscan_medoid,0.0,scale_110,geometric,8,7,1,0.14285714285714285,0.125,0.13333333333333333,0.015678339775546873
akd_0120,518,last4avg,feature_hdbscan_medoid,0.0,translate,geometric,8,8,2,0.25,0.25,0.25,0.0239318679772077
akd_0120,518,last4avg,feature_hdbscan_medoid,0.0,contrast_125,photometric,8,7,2,0.2857142857142857,0.25,0.26666666666666666,0.013682814391993295
akd_0227,518,last,feature_local_contrast,6.0,flip_horizontal,geometric,14,13,9,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.001548466349342305
akd_0227,518,last,feature_local_contrast,6.0,rotate_10,geometric,14,10,9,0.9,0.6428571428571429,0.75,0.01343761634587459
akd_0227,518,last,feature_local_contrast,6.0,brightness_075,photometric,14,13,12,0.9230769230769231,0.8571428571428571,0.888888888888889,0.0
akd_0227,518,last,feature_local_contrast,6.0,rotate_minus10,geometric,14,10,8,0.8,0.5714285714285714,0.6666666666666666,0.010659639451596392
akd_0227,518,last,feature_local_contrast,6.0,scale_090,geometric,14,11,8,0.7272727272727273,0.5714285714285714,0.64,0.009392800236320616
akd_0227,518,last,feature_local_contrast,6.0,scale_110,geometric,14,7,6,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.006634595469571777
