clean_id,source_name,candidate_count,candidate_types,safety_cap_hit,white_mask_hit_ratio,mean_repeatability_f1,median_localization_error_bbox_diag,photometric_count_difference,skeleton_coverage,longitudinal_span_ratio
clean_002,leaf3 (49).jpg,14,endpoint;endpoint;endpoint;endpoint;endpoint;endpoint;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;dino_distinctive,0,1.0,0.9638447971781305,0.0,1.0,0.9918918918918919,0.9582848489356116
clean_011,leaf3 (9).jpg,15,endpoint;endpoint;endpoint;endpoint;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;dino_distinctive,0,1.0,0.9770114942528737,0.0,0.0,1.0,0.8758913898378857
clean_013,92.jpg,19,endpoint;endpoint;endpoint;endpoint;endpoint;endpoint;endpoint;endpoint;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;dino_distinctive;shape_corner,0,1.0,0.9212775528565001,0.0,1.0,0.9626485568760611,0.8962935362066187
clean_014,leaf3 (3).jpg,13,endpoint;endpoint;endpoint;endpoint;endpoint;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner,0,1.0,0.9107312440645775,0.0,0.0,0.9836065573770492,0.8957117513519703
clean_019,leaf3 (11).jpg,14,endpoint;endpoint;endpoint;endpoint;endpoint;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;shape_corner;dino_distinctive,0,1.0,0.8890382317801673,0.0,4.0,1.0,0.7202247764379158
clean_020,31-31.jpg,17,endpoint;endpoint;endpoint;endpoint;endpoint;shape_corner;shape_corner;shape_corner;shape_corner;dino_distinctive;dino_distinctive;shape_corner;dino_distinctive;shape_corner;shape_corner;dino_distinctive;shape_corner,0,1.0,0.8660130718954248,0.0,0.0,1.0,0.8235783622236524
