dataset_id,stage_label,split,path_id,path_kind,adaptive_support_count,spline_length_px,chord_length_px,sinuosity,total_turning_angle_deg,mean_abs_curvature_per_px,skeleton_path_length_px,length_normalized_bbox_diag,spline_to_skeleton_median_error_px,divergence_angle_deg,physical_unit_status
stagev3_0030,lt1_needle,test,path_01,main_axis,17,279.3869565541171,273.2385573858278,1.022501945651863,94.40834754520367,0.005897685870355743,291.3259018078045,1.002359627538408,0.5407288867187291,0.0,not_available_no_scale_reference
stagev3_0021,lt1_needle,train,path_01,main_axis,15,289.53618618897747,289.0566951085055,1.0016588132659996,46.184500800963995,0.0027840098779247746,298.5269119345812,0.9913181559498598,0.5049233392560315,0.0,not_available_no_scale_reference
stagev3_0011,leaf1_to_2,test,path_01,main_axis,17,373.4961680677854,365.9140206775756,1.0207211174258086,147.0158950068247,0.0068699805781399555,394.92388155425124,0.96961961839621,0.7706258418142342,0.0,not_available_no_scale_reference
stagev3_0011,leaf1_to_2,test,path_02,lateral_branch,8,185.14245153297884,183.46191951575133,1.009160113562876,58.409893336160295,0.005506273391184418,200.02438661763955,0.48064148591683886,0.6814515734640525,48.01278750418334,not_available_no_scale_reference
stagev3_0011,leaf1_to_2,test,path_03,lateral_branch,4,74.6400991546528,74.33034373659241,1.0041672808504436,21.381982117886704,0.004999805637803875,81.18376618407356,0.1937704068927822,0.3962230708875829,64.82246457036521,not_available_no_scale_reference
stagev3_0015,leaf1_to_2,test,path_01,main_axis,16,337.7277360571709,328.3429250139488,1.0285823458593586,84.15877321158588,0.0043492065654114,355.2375900532359,0.9554446877892159,0.6496780233375115,0.0,not_available_no_scale_reference
stagev3_0015,leaf1_to_2,test,path_02,lateral_branch,3,57.30639822269194,57.306195127577666,1.0000035440341803,0.5262083083407975,0.00016026251547353028,61.597979746446654,0.16212199328791793,0.539077326986728,65.55604521958347,not_available_no_scale_reference
stagev3_0002,gt2,test,path_01,main_axis,22,445.8976977662254,413.37971554078047,1.0786637103925265,349.01463654612184,0.013661103378413886,466.06601717798213,1.0122072752013316,0.8960150198815409,0.0,not_available_no_scale_reference
stagev3_0003,gt2,test,path_01,main_axis,19,426.076401961424,411.96625628258465,1.0342507316161365,196.21849353345132,0.008037663549768684,460.51681066681454,0.9987988596472938,0.8955554628867366,0.0,not_available_no_scale_reference
stagev3_0003,gt2,test,path_02,lateral_branch,2,17.720045146669353,17.72004514666935,1.0000000000000002,1.4514151986277097e-05,1.4295659982730008e-08,19.071067811865476,0.041538937157553066,0.8752800586148888,30.287952990666017,not_available_no_scale_reference
