dataset_id,transform,family,reference_count,mapped_count,f1,localization_error_bbox_diag
stagev3_0028,scale_110,geometric,4,2,0.6666666666666666,0.023961566202313638
stagev3_0028,translate,geometric,4,2,0.6666666666666666,0.01643699470449347
stagev3_0028,contrast_125,photometric,4,4,1.0,0.0
stagev3_0030,flip_horizontal,geometric,3,3,1.0,0.0
stagev3_0030,rotate_10,geometric,3,1,0.5,0.01010378294845589
stagev3_0030,brightness_075,photometric,3,2,0.8,0.021736482796326288
stagev3_0030,rotate_minus10,geometric,3,3,1.0,0.013466283778866776
stagev3_0030,scale_090,geometric,3,2,0.4,0.006440439347059731
stagev3_0030,scale_110,geometric,3,2,0.8,0.020370261882230546
stagev3_0030,translate,geometric,3,4,0.5714285714285715,0.0168349505689767
stagev3_0030,contrast_125,photometric,3,3,1.0,0.0
