candidate_id,path,relative_path,source_family,identity_group,extension,file_size_bytes,independent_selection_eligible,original_width,original_height,mode,alpha_present,transparent_fraction,white_fraction,border_white_fraction,border_rgb_std,black_fraction,nonwhite_fraction,strict_green_fraction,green_to_nonwhite_ratio,green_components,green_bbox_fraction,green_bbox_touches_border,blur_laplacian_thumbnail,background_class,clean_background_score,dhash64
src_0011,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0507\test00029.tif,..秧苗素质-扫描系统采集\0424 土\0507\test00029.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0507,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.0,0.0,45.98548889160156,0.0027142857142857142,1.0,0.0070408163265306125,0.0070408163265306125,37,0.93,1,950.4463607825904,natural_or_mixed,-4.310588,f0f8f0e6e2e6c6e8
src_0012,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0507\test00030.tif,..秧苗素质-扫描系统采集\0424 土\0507\test00030.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0507,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.0,0.0,44.949493408203125,0.0032653061224489797,0.9999931972789116,0.008258503401360544,0.008258559582037974,30,0.9176190476190477,1,943.296266499329,natural_or_mixed,-4.313506,8c8c849c8cd0e4b0
src_0013,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0507\test00031.tif,..秧苗素质-扫描系统采集\0424 土\0507\test00031.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0507,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.00014965986394557823,0.00010879025239338555,50.68575668334961,0.0018979591836734693,0.997938775510204,0.011571428571428571,0.011595329147835334,40,0.9102517006802721,1,1087.1232083763248,natural_or_mixed,-4.28257,c4c4d8ece8e8c4d4
src_0014,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0507\test00032.tif,..秧苗素质-扫描系统采集\0424 土\0507\test00032.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0507,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,3.401360544217687e-05,0.0,44.62881851196289,0.0030204081632653063,0.9998231292517007,0.013387755102040816,0.013390123423190497,42,0.97,1,1072.5975092154194,natural_or_mixed,-4.291513,86ccf8f4f4f4e6ec
src_0015,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0507\test00033.tif,..秧苗素质-扫描系统采集\0424 土\0507\test00033.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0507,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.0,0.0,44.32388687133789,0.002197278911564626,1.0,0.012646258503401361,0.012646258503401361,33,0.9125918367346939,1,1008.2350977644037,natural_or_mixed,-4.283311,8cccd4e8ecc8f09c
src_0016,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0507\test00034.tif,..秧苗素质-扫描系统采集\0424 土\0507\test00034.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0507,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.0009659863945578231,5.4395126196692775e-05,47.16798782348633,0.0001836734693877551,0.9979251700680272,0.011285714285714286,0.011309178908619927,35,0.8907891156462585,1,1114.8386040712205,natural_or_mixed,-4.259257,d0ccf0e0f0e0f0b0
src_0017,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0508\0508-0424-00001.tif,..秧苗素质-扫描系统采集\0424 土\0508\0508-0424-00001.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0508,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.00031292517006802724,0.0,46.8089714050293,0.0009523809523809524,0.998156462585034,0.009931972789115647,0.009950316570003203,34,0.8183945578231292,1,775.5199425343143,natural_or_mixed,-4.27589,dcdefaf8f0f0f0b0
src_0018,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0508\0508-0424-00002.tif,..秧苗素质-扫描系统采集\0424 土\0508\0508-0424-00002.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0508,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.0007687074829931973,0.0,47.637332916259766,0.0023945578231292517,0.9981292517006802,0.011414965986394557,0.011436360538422218,32,0.8014965986394558,1,1081.9591818379379,natural_or_mixed,-4.288803,e4c4808280808090
src_0019,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0508\0508-0424-00003.tif,..秧苗素质-扫描系统采集\0424 土\0508\0508-0424-00003.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0508,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.00019727891156462584,0.0,46.33656692504883,0.0018843537414965986,0.9979863945578231,0.012428571428571428,0.012453648162285964,43,0.9533333333333334,1,859.8541608757462,natural_or_mixed,-4.279444,98def6f6f0f4fc98
src_0020,D:\kp\数据集图片\..秧苗素质-扫描系统采集\0424 土\0508\0508-0424-00004.tif,..秧苗素质-扫描系统采集\0424 土\0508\0508-0424-00004.tif,scanner_collection,scanner_series::..秧苗素质-扫描系统采集\0424 土\0508,.tif,127436720,1,5100,8315,RGB_memmap,0,0.0,0.0,0.0,52.00242233276367,0.002993197278911565,1.0,0.012061224489795918,0.012061224489795918,42,0.9448979591836735,1,1041.6899668580686,natural_or_mixed,-4.29605,d8d8f8d8d4c0f4d0
